id,event,price,pricePerSquareFoot,city,state,zipcode,parking,homeType,county
91354-65251524,Listed for sale,550000,414,Valencia,CA,91354,1,CONDO,Los Angeles County
91354-65245619,Listed for sale,699000,387,Valencia,CA,91354,1,SINGLE_FAMILY,Los Angeles County
91354-20195911,Listed for sale,760000,484,Santa Clarita,CA,91354,1,SINGLE_FAMILY,Los Angeles County
91354-114404029,Listed for sale,1550000,392,Santa Clarita,CA,91354,1,SINGLE_FAMILY,Los Angeles County
90302-20334320,Listed for sale,575000,501,Inglewood,CA,90302,1,CONDO,Los Angeles County
90302-20324329,Listed for sale,800000,1008,Inglewood,CA,90302,1,SINGLE_FAMILY,Los Angeles County
90302-20334034,Listed for sale,399000,422,Inglewood,CA,90302,1,CONDO,Los Angeles County
90302-20332755,Listed for sale,620000,502,Inglewood,CA,90302,0,MULTI_FAMILY,Los Angeles County
90302-20332629,Listed for sale,935900,543,Inglewood,CA,90302,1,SINGLE_FAMILY,Los Angeles County
90302-20333423,Listed for sale,2300000,674,Inglewood,CA,90302,1,SINGLE_FAMILY,Los Angeles County
90302-20331288,Listed for sale,850000,466,Inglewood,CA,90302,1,SINGLE_FAMILY,Los Angeles County
90302-20333464,Listed for sale,470000,419,Inglewood,CA,90302,1,CONDO,Los Angeles County
91355-20222686,Listed for sale,839900,383,Santa Clarita,CA,91355,1,SINGLE_FAMILY,Los Angeles County
91355-20225528,Listed for sale,599000,531,Santa Clarita,CA,91355,1,TOWNHOUSE,Los Angeles County
91355-20228396,Listed for sale,399900,506,Santa Clarita,CA,91355,1,CONDO,Los Angeles County
91355-20224533,Listed for sale,745000,489,Santa Clarita,CA,91355,1,SINGLE_FAMILY,Los Angeles County
91355-20218795,Listed for sale,559000,459,Santa Clarita,CA,91355,1,TOWNHOUSE,Los Angeles County
91355-20225327,Listed for sale,1050000,452,Santa Clarita,CA,91355,1,SINGLE_FAMILY,Los Angeles County
91355-20223379,Listed for sale,710000,492,Santa Clarita,CA,91355,1,SINGLE_FAMILY,Los Angeles County
91355-20228019,Listed for sale,824000,442,Santa Clarita,CA,91355,1,SINGLE_FAMILY,Los Angeles County
91355-20223616,Listed for sale,745000,484,Santa Clarita,CA,91355,1,SINGLE_FAMILY,Los Angeles County
91355-20228211,Listed for sale,799000,476,Santa Clarita,CA,91355,1,SINGLE_FAMILY,Los Angeles County
91355-20223987,Listed for sale,789000,385,Santa Clarita,CA,91355,1,SINGLE_FAMILY,Los Angeles County
91355-20226051,Listed for sale,899888,462,Santa Clarita,CA,91355,1,SINGLE_FAMILY,Los Angeles County
91355-55325102,Listed for sale,749900,362,Santa Clarita,CA,91355,1,SINGLE_FAMILY,Los Angeles County
91355-20228683,Listed for sale,530900,574,Santa Clarita,CA,91355,1,CONDO,Los Angeles County
91355-2132657594,Listed for sale,849000,360,Valencia,CA,91355,1,SINGLE_FAMILY,Los Angeles County
91355-20227210,Listed for sale,1019999,622,Santa Clarita,CA,91355,1,SINGLE_FAMILY,Los Angeles County
91355-20228504,Listed for sale,740000,400,Santa Clarita,CA,91355,1,TOWNHOUSE,Los Angeles County
90745-21253453,Listed for sale,789900,562,Carson,CA,90745,1,SINGLE_FAMILY,Los Angeles County
90745-21287409,Listed for sale,850000,416,Carson,CA,90745,1,SINGLE_FAMILY,Los Angeles County
90746-21251499,Listed for sale,780000,390,Carson,CA,90746,1,SINGLE_FAMILY,Los Angeles County
90746-21252484,Listed for sale,800000,507,Carson,CA,90746,0,SINGLE_FAMILY,Los Angeles County
90502-21264097,Listed for sale,575000,494,Torrance,CA,90502,1,SINGLE_FAMILY,Los Angeles County
90502-21263434,Listed for sale,459000,488,Lomita,CA,90502,1,CONDO,Los Angeles County
90745-21253498,Listed for sale,590000,422,Carson,CA,90745,1,SINGLE_FAMILY,Los Angeles County
